customer_id,clv_decile,churn_risk,current_bb_speed,network_activity,account_tenure,time_of_last_broadband_upgrade,broadband_type,customer_segment
99677,9,0,500mb,medium,16,2018-05-19,Fiber,Budget Balancers
39970,9,0,500mb,medium,3,2018-02-03,Fiber,Budget Balancers
40725,4,0,1Gig,medium,7,2020-04-04,Fiber,Settled Simplifiers
39050,10,0,2Gig,medium,103,2017-10-09,Fiber,Settled Simplifiers
83651,7,0,1Gig,heavy,19,2017-05-16,Fiber,Settled Simplifiers
59253,9,0,2Gig,medium,96,2016-03-15,Fiber,Budget Balancers
43836,4,0,1Gig,light,18,2016-04-04,Fiber,Settled Simplifiers
23068,8,0,500mb,heavy,6,2018-07-11,Fiber,Peak Performers
14136,4,0,500mb,medium,54,2023-07-10,Fiber,Peak Performers
35536,2,1,1Gig,medium,102,2025-08-15,Fiber,Aspirational Adopters
24318,4,0,500mb,light,74,2022-01-19,Fiber,Peak Performers
4359,5,0,1Gig,light,88,2019-10-11,Fiber,Aspirational Adopters
37742,9,0,500mb,medium,101,2021-09-12,Fiber,Foolproof Followers
78759,5,0,1Gig,light,50,2022-11-21,Fiber,Foolproof Followers
21307,4,0,1Gig,medium,51,2018-12-27,Fiber,Settled Simplifiers
65315,9,0,Copper,medium,110,2021-05-02,Copper,Budget Balancers
22124,3,0,2Gig,medium,98,2017-06-14,Fiber,Aspirational Adopters
33215,7,0,2Gig,medium,52,2022-05-05,Fiber,Budget Balancers
82784,10,0,Copper,light,104,2017-05-05,Copper,Foolproof Followers
46280,10,0,1Gig,light,106,2025-05-22,Fiber,Budget Balancers
75755,1,0,Copper,light,26,2019-09-21,Copper,Foolproof Followers
36025,1,0,500mb,medium,97,2020-02-28,Fiber,Settled Simplifiers
15111,2,0,2Gig,heavy,41,2017-02-15,Fiber,Aspirational Adopters
39043,5,0,2Gig,heavy,61,2019-08-08,Fiber,Foolproof Followers
54961,2,0,500mb,heavy,57,2023-06-15,Fiber,Foolproof Followers
71100,4,0,1Gig,light,31,2017-12-10,Fiber,Budget Balancers
90379,10,0,Copper,medium,32,2017-03-06,Copper,Settled Simplifiers
85807,1,0,2Gig,medium,109,2022-08-07,Fiber,Peak Performers
50143,6,0,500mb,medium,32,2021-12-07,Fiber,Peak Performers
33570,7,0,2Gig,heavy,41,2024-07-08,Fiber,Peak Performers
72401,1,0,1Gig,medium,34,2018-03-10,Fiber,Foolproof Followers
38619,9,1,2Gig,medium,67,2020-07-29,Fiber,Aspirational Adopters
8553,10,0,2Gig,heavy,58,2023-11-01,Fiber,Peak Performers
64382,5,0,1Gig,heavy,44,2017-08-03,Fiber,Settled Simplifiers
89981,1,0,1Gig,heavy,108,2018-05-25,Fiber,Foolproof Followers
5264,10,0,500mb,medium,9,2023-11-20,Fiber,Settled Simplifiers
68222,9,0,Copper,heavy,7,2016-04-23,Copper,Settled Simplifiers
92575,2,0,500mb,medium,33,2022-01-03,Fiber,Foolproof Followers
24867,8,0,2Gig,medium,98,2016-11-25,Fiber,Settled Simplifiers
26803,4,0,500mb,light,5,2024-08-07,Fiber,Settled Simplifiers
28140,2,0,500mb,medium,2,2023-02-07,Fiber,Aspirational Adopters
64208,5,0,1Gig,heavy,46,2021-03-08,Fiber,Settled Simplifiers
78542,7,0,2Gig,heavy,10,2017-08-01,Fiber,Peak Performers
39551,8,0,500mb,medium,44,2023-12-19,Fiber,Budget Balancers
94146,3,0,1Gig,light,88,2020-06-18,Fiber,Budget Balancers
470,3,0,1Gig,light,73,2016-03-12,Fiber,Peak Performers
77762,10,0,500mb,light,39,2021-05-25,Fiber,Budget Balancers
50749,3,0,1Gig,medium,117,2020-10-27,Fiber,Settled Simplifiers
73095,1,0,1Gig,medium,28,2016-12-29,Fiber,Peak Performers
50364,5,0,1Gig,medium,42,2017-05-28,Fiber,Settled Simplifiers
71950,5,0,500mb,medium,114,2019-02-05,Fiber,Settled Simplifiers
90189,3,0,500mb,heavy,24,2017-06-11,Fiber,Peak Performers
48763,3,0,1Gig,heavy,31,2016-07-24,Fiber,Budget Balancers
90048,9,0,500mb,medium,77,2019-06-18,Fiber,Settled Simplifiers
69536,9,0,1Gig,medium,97,2018-11-23,Fiber,Foolproof Followers
37000,3,0,1Gig,medium,117,2016-11-07,Fiber,Foolproof Followers
70380,10,0,500mb,light,103,2019-09-24,Fiber,Peak Performers
98608,7,0,1Gig,medium,44,2020-06-02,Fiber,Aspirational Adopters
53898,7,0,2Gig,medium,67,2022-01-30,Fiber,Foolproof Followers
19793,6,0,1Gig,heavy,14,2023-09-16,Fiber,Peak Performers
50483,3,0,1Gig,medium,63,2017-07-12,Fiber,Aspirational Adopters
48104,5,0,2Gig,light,36,2025-06-25,Fiber,Settled Simplifiers
30135,5,0,1Gig,medium,91,2024-02-27,Fiber,Peak Performers
49551,3,0,500mb,heavy,16,2023-04-10,Fiber,Peak Performers
4422,6,0,2Gig,medium,107,2025-03-24,Fiber,Peak Performers
22784,4,0,1Gig,medium,95,2016-09-02,Fiber,Settled Simplifiers
64615,6,0,500mb,medium,93,2024-12-12,Fiber,Peak Performers
30658,8,0,1Gig,light,44,2021-04-15,Fiber,Settled Simplifiers
33062,1,0,Copper,heavy,74,2017-09-24,Copper,Budget Balancers
90166,8,0,1Gig,light,94,2021-06-05,Fiber,Budget Balancers
4573,8,0,1Gig,medium,15,2023-08-14,Fiber,Settled Simplifiers
10330,6,0,Copper,light,25,2022-09-02,Copper,Settled Simplifiers
41510,2,0,500mb,medium,22,2022-05-19,Fiber,Budget Balancers
62669,6,0,500mb,light,97,2022-12-25,Fiber,Foolproof Followers
86142,3,0,2Gig,heavy,90,2023-02-14,Fiber,Aspirational Adopters
98162,7,0,2Gig,heavy,4,2022-05-19,Fiber,Settled Simplifiers
23474,6,0,1Gig,medium,87,2019-04-18,Fiber,Settled Simplifiers
37930,10,0,2Gig,medium,64,2022-05-30,Fiber,Settled Simplifiers
25284,6,0,1Gig,medium,31,2023-10-03,Fiber,Aspirational Adopters
90287,4,0,Copper,heavy,11,2022-11-17,Copper,Budget Balancers
1128,4,0,1Gig,medium,29,2019-02-13,Fiber,Settled Simplifiers
61095,2,0,500mb,medium,3,2025-08-18,Fiber,Budget Balancers
24858,3,0,Copper,light,117,2024-11-23,Copper,Settled Simplifiers
34183,5,0,1Gig,heavy,88,2023-01-22,Fiber,Budget Balancers
86736,4,0,500mb,heavy,52,2016-08-15,Fiber,Aspirational Adopters
37095,2,0,2Gig,heavy,10,2024-12-07,Fiber,Settled Simplifiers
9910,10,0,2Gig,medium,90,2024-06-16,Fiber,Settled Simplifiers
88696,1,0,2Gig,light,72,2017-05-08,Fiber,Peak Performers
64832,8,0,1Gig,medium,114,2023-12-31,Fiber,Budget Balancers
39448,4,0,Copper,light,112,2021-10-14,Copper,Peak Performers
4169,7,0,500mb,medium,12,2022-12-06,Fiber,Peak Performers
65053,2,0,2Gig,medium,102,2025-03-09,Fiber,Peak Performers
76731,1,0,500mb,heavy,85,2021-11-05,Fiber,Settled Simplifiers
9983,1,0,2Gig,medium,68,2022-06-23,Fiber,Foolproof Followers
48156,4,0,1Gig,light,95,2025-07-23,Fiber,Peak Performers
61992,9,0,1Gig,medium,116,2017-12-14,Fiber,Foolproof Followers
84448,3,0,2Gig,light,67,2020-04-26,Fiber,Peak Performers
85933,6,0,2Gig,medium,24,2020-10-03,Fiber,Settled Simplifiers
98728,4,0,Copper,light,66,2018-01-13,Copper,Settled Simplifiers
65373,6,0,1Gig,medium,69,2024-08-08,Fiber,Settled Simplifiers
97631,3,0,2Gig,medium,97,2024-12-08,Fiber,Peak Performers
79719,4,0,500mb,light,35,2025-02-08,Fiber,Settled Simplifiers
86507,1,0,1Gig,medium,55,2022-06-17,Fiber,Foolproof Followers
19987,1,0,2Gig,medium,68,2018-07-24,Fiber,Budget Balancers
43354,2,0,1Gig,light,63,2024-06-21,Fiber,Peak Performers
5733,1,0,500mb,medium,18,2024-06-22,Fiber,Settled Simplifiers
50772,9,0,500mb,light,18,2023-11-28,Fiber,Aspirational Adopters
4788,9,1,500mb,medium,64,2023-03-31,Fiber,Budget Balancers
26194,1,0,500mb,medium,119,2020-04-10,Fiber,Peak Performers
4549,4,0,1Gig,medium,116,2021-01-16,Fiber,Peak Performers
66347,4,0,1Gig,medium,56,2018-10-28,Fiber,Settled Simplifiers
37944,6,0,500mb,medium,33,2016-08-18,Fiber,Peak Performers
41830,4,0,Copper,medium,23,2021-09-06,Copper,Budget Balancers
60596,6,0,Copper,heavy,39,2023-05-05,Copper,Budget Balancers
29014,2,0,Copper,medium,15,2020-08-28,Copper,Peak Performers
53543,9,0,1Gig,heavy,25,2020-02-15,Fiber,Budget Balancers
61280,3,0,500mb,heavy,113,2020-08-05,Fiber,Settled Simplifiers
95169,1,0,500mb,medium,10,2024-03-22,Fiber,Peak Performers
20937,1,0,2Gig,medium,20,2016-06-07,Fiber,Foolproof Followers
36078,5,0,1Gig,light,2,2016-05-07,Fiber,Foolproof Followers
47526,1,0,2Gig,heavy,94,2024-11-27,Fiber,Settled Simplifiers
32275,2,0,2Gig,medium,95,2017-11-06,Fiber,Foolproof Followers
74764,2,0,1Gig,medium,55,2025-09-24,Fiber,Peak Performers
17022,8,0,1Gig,light,39,2024-04-23,Fiber,Foolproof Followers
54642,4,0,500mb,medium,19,2018-01-02,Fiber,Foolproof Followers
39163,3,0,1Gig,medium,71,2022-07-14,Fiber,Foolproof Followers
95727,5,0,500mb,light,42,2019-11-01,Fiber,Foolproof Followers
60401,6,0,500mb,heavy,110,2024-06-21,Fiber,Foolproof Followers
89572,1,0,1Gig,medium,3,2023-11-23,Fiber,Settled Simplifiers
11198,9,0,1Gig,heavy,89,2021-07-03,Fiber,Peak Performers
25286,4,0,1Gig,medium,21,2016-04-11,Fiber,Settled Simplifiers
62226,9,0,1Gig,heavy,55,2018-07-03,Fiber,Peak Performers
91445,7,0,1Gig,light,109,2019-05-07,Fiber,Settled Simplifiers
33927,4,0,2Gig,medium,51,2022-08-15,Fiber,Aspirational Adopters
20114,5,0,1Gig,medium,50,2018-02-24,Fiber,Settled Simplifiers
28529,4,0,1Gig,light,116,2019-11-20,Fiber,Settled Simplifiers
29660,9,0,Copper,medium,61,2024-05-18,Copper,Aspirational Adopters
6522,2,0,1Gig,heavy,50,2020-03-15,Fiber,Foolproof Followers
50834,6,0,500mb,heavy,22,2018-05-18,Fiber,Peak Performers
38155,7,0,1Gig,medium,35,2019-01-11,Fiber,Foolproof Followers
23113,9,0,1Gig,light,53,2017-04-26,Fiber,Settled Simplifiers
37712,5,0,500mb,medium,22,2021-04-29,Fiber,Aspirational Adopters
11466,6,1,1Gig,medium,114,2020-05-11,Fiber,Foolproof Followers
21875,6,0,1Gig,heavy,83,2016-08-30,Fiber,Settled Simplifiers
79134,3,0,1Gig,heavy,84,2021-05-21,Fiber,Foolproof Followers
86167,8,0,2Gig,light,69,2022-09-19,Fiber,Settled Simplifiers
90286,7,0,1Gig,medium,22,2023-09-24,Fiber,Settled Simplifiers
98601,5,0,Copper,light,9,2021-11-07,Copper,Settled Simplifiers
42661,10,0,500mb,heavy,6,2021-07-06,Fiber,Foolproof Followers
71107,2,0,Copper,medium,102,2020-05-30,Copper,Foolproof Followers
35836,7,0,500mb,medium,28,2021-05-01,Fiber,Foolproof Followers
49503,4,0,2Gig,heavy,58,2022-09-04,Fiber,Foolproof Followers
99484,5,0,1Gig,light,85,2022-10-30,Fiber,Aspirational Adopters
715,4,0,1Gig,medium,5,2018-09-22,Fiber,Peak Performers
13451,6,0,2Gig,heavy,104,2020-09-11,Fiber,Budget Balancers
27570,10,0,2Gig,medium,42,2024-02-24,Fiber,Foolproof Followers
87334,3,0,Copper,light,106,2022-03-12,Copper,Settled Simplifiers
27458,2,0,2Gig,heavy,115,2024-08-06,Fiber,Settled Simplifiers
80884,6,0,1Gig,light,1,2022-11-04,Fiber,Foolproof Followers
90903,10,1,1Gig,heavy,26,2017-05-22,Fiber,Settled Simplifiers
26892,3,0,1Gig,medium,102,2022-09-22,Fiber,Foolproof Followers
58333,6,0,Copper,medium,66,2020-01-07,Copper,Aspirational Adopters
69390,6,0,1Gig,heavy,93,2018-02-05,Fiber,Settled Simplifiers
55601,4,0,1Gig,heavy,13,2016-06-30,Fiber,Settled Simplifiers
50260,7,0,500mb,medium,27,2022-07-28,Fiber,Budget Balancers
22321,10,0,500mb,heavy,115,2025-07-03,Fiber,Foolproof Followers
94285,9,0,500mb,heavy,49,2021-12-08,Fiber,Settled Simplifiers
92920,6,0,1Gig,heavy,63,2019-06-16,Fiber,Budget Balancers
10236,4,1,2Gig,heavy,2,2020-03-21,Fiber,Settled Simplifiers
82485,9,0,2Gig,medium,8,2023-11-01,Fiber,Settled Simplifiers
65260,8,0,1Gig,medium,32,2018-09-29,Fiber,Peak Performers
83762,7,0,1Gig,medium,61,2019-03-11,Fiber,Settled Simplifiers
3234,9,0,500mb,light,36,2021-07-08,Fiber,Foolproof Followers
81534,2,0,2Gig,medium,27,2020-12-27,Fiber,Peak Performers
94229,1,0,1Gig,medium,36,2021-03-30,Fiber,Foolproof Followers
30449,10,0,1Gig,light,39,2018-11-20,Fiber,Settled Simplifiers
51947,2,0,500mb,medium,18,2017-03-05,Fiber,Foolproof Followers
88905,4,0,500mb,medium,113,2019-11-21,Fiber,Budget Balancers
16529,8,0,2Gig,medium,53,2025-07-24,Fiber,Settled Simplifiers
36312,3,0,500mb,light,60,2019-05-12,Fiber,Foolproof Followers
87390,6,0,500mb,heavy,36,2024-06-20,Fiber,Settled Simplifiers
38044,3,0,2Gig,medium,97,2024-11-30,Fiber,Peak Performers
11005,4,0,2Gig,heavy,103,2020-10-24,Fiber,Budget Balancers
97215,1,0,1Gig,heavy,120,2025-10-23,Fiber,Peak Performers
87561,8,0,1Gig,medium,52,2018-03-14,Fiber,Peak Performers
78076,8,0,500mb,medium,116,2023-01-06,Fiber,Peak Performers
94147,8,0,500mb,heavy,27,2025-02-06,Fiber,Peak Performers
23621,10,0,1Gig,medium,37,2018-06-11,Fiber,Settled Simplifiers
38534,10,0,500mb,heavy,91,2019-05-24,Fiber,Peak Performers
55156,3,0,1Gig,medium,27,2023-08-17,Fiber,Aspirational Adopters
68973,4,0,1Gig,medium,51,2019-05-03,Fiber,Peak Performers
32197,2,0,1Gig,heavy,31,2024-01-22,Fiber,Foolproof Followers
60568,5,0,1Gig,medium,86,2017-05-18,Fiber,Foolproof Followers
26133,7,0,1Gig,medium,27,2022-11-13,Fiber,Foolproof Followers
88628,2,0,1Gig,heavy,97,2016-05-28,Fiber,Settled Simplifiers
29209,6,0,1Gig,medium,11,2016-12-25,Fiber,Foolproof Followers
98628,1,0,1Gig,light,88,2017-12-25,Fiber,Foolproof Followers
28141,3,0,1Gig,heavy,108,2022-03-17,Fiber,Peak Performers
79404,7,0,1Gig,heavy,24,2016-04-25,Fiber,Foolproof Followers
33425,8,0,1Gig,medium,41,2017-12-31,Fiber,Peak Performers
69782,4,0,2Gig,heavy,3,2022-07-02,Fiber,Aspirational Adopters
43901,5,0,Copper,medium,106,2016-09-28,Copper,Foolproof Followers
59185,4,0,500mb,heavy,75,2019-05-28,Fiber,Settled Simplifiers
43410,10,0,1Gig,medium,114,2018-04-03,Fiber,Peak Performers
44249,7,0,Copper,light,118,2025-04-16,Copper,Settled Simplifiers
90050,4,0,1Gig,heavy,26,2022-06-14,Fiber,Budget Balancers
15944,7,0,2Gig,medium,113,2018-11-24,Fiber,Settled Simplifiers
31937,1,1,500mb,light,56,2017-08-19,Fiber,Settled Simplifiers
37439,9,0,500mb,medium,52,2024-08-09,Fiber,Peak Performers
43855,2,0,500mb,medium,67,2016-08-09,Fiber,Foolproof Followers
49469,3,0,500mb,heavy,101,2020-12-22,Fiber,Budget Balancers
25110,7,0,500mb,medium,22,2018-11-25,Fiber,Foolproof Followers
95376,7,0,500mb,medium,99,2021-08-14,Fiber,Peak Performers
17168,9,0,500mb,light,69,2016-08-20,Fiber,Budget Balancers
73459,7,0,2Gig,medium,3,2016-10-06,Fiber,Settled Simplifiers
55692,8,0,1Gig,medium,96,2019-10-06,Fiber,Peak Performers
31779,4,0,1Gig,medium,74,2020-01-13,Fiber,Peak Performers
42607,5,0,500mb,light,43,2022-09-30,Fiber,Settled Simplifiers
31495,10,0,2Gig,medium,21,2021-02-18,Fiber,Foolproof Followers
57085,8,0,Copper,heavy,11,2017-11-10,Copper,Peak Performers
60540,3,0,500mb,heavy,31,2016-08-20,Fiber,Foolproof Followers
32124,4,0,1Gig,light,85,2019-11-22,Fiber,Settled Simplifiers
72005,8,0,Copper,light,45,2020-04-25,Copper,Peak Performers
4433,10,0,1Gig,heavy,98,2019-07-11,Fiber,Foolproof Followers
69002,3,0,2Gig,medium,36,2017-07-13,Fiber,Settled Simplifiers
4389,7,0,500mb,heavy,29,2017-12-01,Fiber,Settled Simplifiers
89642,7,0,2Gig,medium,65,2021-02-07,Fiber,Budget Balancers
95820,2,0,1Gig,heavy,9,2016-11-18,Fiber,Peak Performers
30982,2,0,500mb,light,47,2022-10-12,Fiber,Foolproof Followers
52587,5,0,500mb,light,118,2017-07-20,Fiber,Peak Performers
69409,4,0,1Gig,light,3,2024-05-25,Fiber,Peak Performers
48759,2,1,Copper,medium,110,2020-09-13,Copper,Peak Performers
7943,10,0,500mb,medium,26,2023-01-23,Fiber,Foolproof Followers
80367,10,0,1Gig,heavy,74,2022-02-26,Fiber,Peak Performers
3724,2,0,Copper,medium,73,2016-03-16,Copper,Foolproof Followers
99979,7,0,500mb,medium,30,2021-03-15,Fiber,Settled Simplifiers
68856,4,0,500mb,medium,20,2020-03-03,Fiber,Settled Simplifiers
60806,8,0,2Gig,light,40,2016-05-25,Fiber,Peak Performers
50404,10,0,2Gig,heavy,115,2023-05-02,Fiber,Settled Simplifiers
93214,10,0,500mb,medium,3,2016-08-08,Fiber,Budget Balancers
11957,2,0,500mb,medium,108,2022-05-26,Fiber,Settled Simplifiers
69801,5,0,1Gig,light,15,2020-05-04,Fiber,Aspirational Adopters
64378,4,0,1Gig,light,81,2021-02-16,Fiber,Settled Simplifiers
42619,7,0,1Gig,medium,85,2016-01-18,Fiber,Settled Simplifiers
21802,3,0,1Gig,medium,98,2021-10-01,Fiber,Settled Simplifiers
93039,9,0,1Gig,light,93,2018-08-24,Fiber,Aspirational Adopters
70541,2,0,1Gig,medium,105,2018-04-24,Fiber,Budget Balancers
96025,1,0,Copper,heavy,38,2021-11-02,Copper,Peak Performers
81398,7,0,500mb,light,105,2021-11-30,Fiber,Settled Simplifiers
93243,1,0,1Gig,heavy,58,2023-12-13,Fiber,Budget Balancers
10597,8,0,500mb,heavy,120,2021-11-29,Fiber,Foolproof Followers
92149,7,0,500mb,medium,111,2016-02-07,Fiber,Peak Performers
18934,1,0,Copper,light,49,2020-10-22,Copper,Peak Performers
